GPT Name,Description,Link,Setting,# Chats,Category,Use Case,Industry,Business / Consumer?,Featured (Y/N),System Instructions Link,GPT Documentation Link,Notes
Agent Builder Guide,"Guides beginners in building any AI agent with SDKs, Restack, MCP, and API integration",https://chatgpt.com/g/g-6823d7ef9e388191bb15547171896084-agent-builder-guide,GPT Store,,Programming,,,,,,,
Chatbot Architect,Builds structured chatbot instructions and guides step-by-step configuration on no-code platforms.,https://chatgpt.com/g/g-6820f686c3608191819ebb80e57e990a-chatbot-architect,GPT Store,,Programming,,,,,,,
Poor Richard's GPT,Provides quotes and insights from Poor Richard's Almanak,https://chatgpt.com/g/g-681ee3be47a0819182590ec346cb304a-poor-richard-s-gpt,GPT Store,,Lifestyle,,,,,,,
Automation Architect,"Expert in Make, Zapier, n8n; builds custom automations step-by-step",https://chatgpt.com/g/g-681e8b22123881919856dcbd09b1765c-automation-architect,GPT Store,,Productivity,Software Development,,,,,,
Course Builder Assistant,Transforms course ideas or documents into structured outlines and full course content.,https://chatgpt.com/g/g-68169561b7108191a2eee3758dace731-course-builder-assistant,GPT Store,,Productivity,,,,,,,
v0.dev Full Stack App Builder,Delivers exactly 10 v0.dev prompts to build full stack app MVPs.,https://chatgpt.com/g/g-681685f291a48191a687c6dac28f4412-v0-dev-full-stack-app-builder,GPT Store,,Programming,Software Development,,,,,,
Centralized Systems Assistant,"Assists systems teams with documentation, automation, troubleshooting, and programming tasks.",https://chatgpt.com/g/g-68118b25ebd48191be50ecaa749812e5-centralized-systems-assistant,Private Link,0,Productivity,Software Development,Productivity,,,,,built for job application - city of chicago department of water
Custom GPT Builder Guide,"A calm, expert assistant guiding you step-by-step to design, customize, and refine your perfect GPT.",https://chatgpt.com/g/g-681009c908b481919c03570bc6e4c7b2-custom-gpt-builder-guide,GPT Store,1,Programming,Software Development,Programming,,,,,Built as a test
Compass GPT Builder,Helps users build custom GPTs,https://chatgpt.com/g/g-681004f42b9c819199877e2d765d3523-compass-gpt-builder,GPT Store,1,Programming,Software Development,Programming,,,,,Built as a test
Custom GPT Guide,A step-by-step tutorial guide for building custom GPTs.,https://chatgpt.com/g/g-681003e70b4081919f5c7accc1096e21-custom-gpt-guide,GPT Store,1,Programming,Software Development,Programming,,,,,Built as a test
